,0
নদীয়া কাহিনী,"TK. 468
            
                TK. 600"
আধুনিক রূপচর্চা ,"TK. 97
            
                TK. 110"
আমার রোকেয়া,"TK. 90
            
                TK. 100"
বেগম রোকেয়া : সময় ও সাহিত্য,"TK. 176
            
                TK. 200"
ঝালকাঠি জেলার মুক্তিযুদ্ধের ইতিহাস,"TK. 59
            
                TK. 75"
বেগম রোকেয়া : জীবন ও সাহিত্য,"TK. 213
            
                TK. 250"
আল্লামা ইকবাল কবি ও নকীব ,"TK. 161
            
                TK. 230"
রোকেয়া: চিরন্তনী প্রতিকৃতি,"TK. 213
            
                TK. 250"
মুক্তিযুদ্ধের নীলকন্ঠী মেয়ে,"TK. 141
            
                TK. 160"
আয় বৃষ্টি ঝুম,"TK. 72
            
                TK. 80"
মায়ের জন্য একগুচ্ছ গোলাপ,"TK. 132
            
                TK. 150"
মন্টুর দুইটা নৌকা,"TK. 72
            
                TK. 80"
বিষণ্ণ কল্যাণ মন্ত্রণালয়,"TK. 132
            
                TK. 150"
ছোটদের বেগম রোকেয়া ও বেগম শামছুন্নাহার,"TK. 90
            
                TK. 100"
সোনার নৌকা পবনের বৈঠা,"TK. 75
            
                TK. 100"
শুধু ছবি নও,"TK. 72
            
                TK. 80"
সোনালি ভালোবাসার রূপালি দিনরাত্রি,"TK. 132
            
                TK. 150"
ছড়ার গাড়ি,"TK. 90
            
                TK. 100"
যা রে কাগজের নৌকা ,TK. 144
অমৃত দহন,"TK. 90
            
                TK. 100"
তবুও বাংলাদেশ,"TK. 72
            
                TK. 80"
তির্যক সূর্যালোক ,"TK. 90
            
                TK. 100"
সোনার নৌকা,"TK. 90
            
                TK. 150"
Selected Works 1961-2016,"TK. 1,500"
Herstories Vol.-1 Adventures Of Supergirls,TK. 480
হারস্টোরিজ ভলিউম-১ বাংলার দুঃসাহসী মেয়েরা,TK. 480
Herstories Volume-2 Adventures Of Supergirls,TK. 680
জ্যোৎস্নার নকসা,TK. 270
পায়েপায়ে নদিয়া,TK. 162
ফিরে দেখা নদিয়া,TK. 180
নদিয়া জেলায় ভারতের মুক্তি আন্দোলন,TK. 630
নদীয়া জেলার অসংগঠিত ক্ষেত্রের শিল্প ও শ্রমিকঃ,TK. 450
ভাঙা নৌকা,"TK. 36
            
                TK. 60"
মা মাটি আর শেকড়ের কাব্য,"TK. 90
            
                TK. 100"
Public Speaking of Writting Seminar Paper Syndicate Report Book Review ,"TK. 150
            
                TK. 200"
Public Speaking and Writting Seminar Paper Syndicate Report & Book Review ,"TK. 150
            
                TK. 200"
সমাজবিজ্ঞানে পরিসংখ্যান পদ্ধতি,"TK. 176
            
                TK. 200"
দিলের টুকরা,"TK. 72
            
                TK. 80"
সামাজিক বিজ্ঞানের মূলসুত্র,"TK. 90
            
                TK. 100"
সমাজ বিজ্ঞানে পরিসংখ্যান পদ্ধতি,"TK. 114
            
                TK. 130"
দৈনন্দিন জীবনে সুন্নত,"TK. 132
            
                TK. 150"
আমলে হজ্জ্ব,"TK. 213
            
                TK. 250"
কাটা কম্পাস নকসা  ,"TK. 75
            
                TK. 100"
গন্তব্যে গোধূলি তৃষ্ণা  ,"TK. 72
            
                TK. 80"
ইতিহাসের নকীব যারা,"TK. 85
            
                TK. 130"
অন ফটোগ্রাফি,"TK. 306
            
                TK. 360"
দেখার যত উপায়,TK. 385
পুষ্প জাগরণ,"TK. 154
            
                TK. 175"
এক ব্যাগ শিল্প (পেপারব্যাক),"TK. 1,003
            
                TK. 1,180"
শিল্প কাহিনি,"TK. 842
            
                TK. 990"
পশ্চিমের চোখে প্রাচ্যকে দেখার তত্ত্ব বা অরিয়েন্টালিজমের নাড়িনক্ষত্র,"TK. 74
            
                TK. 120"
পাখির কোন কাঁটাতার নেই,"TK. 90
            
                TK. 100"
আসল নক্‌শে সোলেমানী তাবিজের কিতাব,"TK. 143
            
                TK. 220"
