,0
"Verizon Wireless Nokia 2V 8GB Prepaid Smartphone, Bl  ...",$39.00
"AT&T PREPAID Nokia 3.1 A 32GB Prepaid Smartphone, Bl  ...",$79.00
Nokia 7.1 TA-1085 64GB Unlocked GSM + Verizon Androi  ...,$229.00
Nokia 6 TA-1025 32GB Unlocked GSM Android Phone w/ 1  ...,$149.99
Nokia 5 Black,$134.94
"NOKIA 3.1 16GB Unlocked Smartphone, BLACK",$169.00
Nokia 4.2 TA-1133 32GB Unlocked GSM Phone w/ Dual 13  ...,$18.98
Nokia 6315i Black Silver (Verizon) Cellular Phone,$484.95
Nokia 9 Pureview TA-1082 128GB GSM Unlocked Android   ...,$59.94
